,,,,,,,,
,基本設計書,,,,,,,
,,"こちらは受講生の皆さんが入力するシートになります。
こちらの設計書は評価対象になりますので、提出時にアプリケーションと仕様が一致するか必ず確認してください。",,,,,,
,"Route,Controller",,,,,,,
,,画面名称,パス,メソッド,ルート先コントローラー,アクション,認証必須,説明
,,商品一覧画面（トップ画面）,/,GET,ItemController,index,不要,商品一覧ページ
,,商品一覧画面（トップ画面）_マイリスト,/?tab=mylist,,,,,
,,会員登録画面,標準機能,GET/POST,Fortify,,不要,会員登録フォームの表示と登録処理
,,ログイン画面,標準機能,GET/POST,Fortify,,不要,ログインフォームの表示と認証処理
,,商品詳細画面,/item/{item_id},GET,ItemController,show,不要,特定商品の詳細とコメント・いいね状況の表示
,,商品購入画面,/purchase/{item_id},GET/POST,PurchaseController,create/store,必須,購入確認画面の表示とStripe決済処理
,,住所変更ページ,/purchase/address/{item_id},GET/POST,ProfileController,editAddress/updateAddress,必須,送付先中の変更画面表示と更新処理
,,商品出品画面,/sell,GET/POST,ItemController,create/store,必須,出品フォームの表示と商品データの保存
,,プロフィール画面,/mypage,GET,ProfileController,index,必須,自分の情報および出品・購入した商品一覧の表示
,,プロフィール編集画面,/mypage/profile,GET/POST,ProfileController,edit/update,必須,プロフィール設定画面の表示と情報更新
,,プロフィール画面_購入した商品一覧,/mypage?page=buy,,,,,
,,プロフィール画面_出品した商品一覧,/mypage?page=sell,,,,,
,,,,,,,,
,,,,,,,,
,Model,,,,,,,
,,モデルファイル名,説明,,,,,
,,User,Laravel標準構成に基づき作成,,,,,
,,Item,商品情報（出品者、カテゴリ、状態、価格など）,,,,,
,,Category,商品カテゴリー,,,,,
,,Category_item,カテゴリとアイテムのリレーションテーブル,,,,,
,,Condition,商品の状態（「良好」など）,,,,,
,,Like,いいね機能（UserとItemの中間）,,,,,
,,Comment,商品へのコメント（User、Itemに紐づく）,,,,,
,,Order,購入履歴（購入者、商品、支払い方法、配送先）,,,,,
,,Profile,ユーザーの基本情報(住所･画像など)を保持,,,,,
,,,,,,,,
,,,,,,,,
,View,,,,,,,
,,画面名称,bladeファイル名,,,,,
,,商品一覧画面（トップ画面）,items/index.blade.php,,,,,
,,会員登録画面,auth/register.blade.php,,,,,
,,ログイン画面,auth/login.blade.php,,,,,
,,商品詳細画面,items/show.blade.php,,,,,
,,商品購入画面,purchase/create.blade.php,,,,,
,,送付先住所変更画面,purchase/address.blade.php,,,,,
,,商品出品画面,items/create.blade.php,,,,,
,,プロフィール画面,profile/index.blade.php,,,,,
,,プロフィール編集画面（設定画面）,profile/edit.blade.php,,,,,
,,,,,,,,
,バリデーション,,,,,,,
,,バリデーションファイル名,フォーム,ルール,,,,
,,RegisterRequest.php,ユーザー名,入力必須、20文字以内,,,,
,,,メールアドレス,入力必須、メール形式,,,,
,,,パスワード,入力必須、8文字以上,,,,
,,,確認用パスワード,入力必須、8文字以上、「パスワード」との重複のみ可,,,,
,,LoginRequest.php,メールアドレス,入力必須、メール形式,,,,
,,,パスワード,入力必須,,,,
,,CommentRequest.php,商品コメント,入力必須、最大文字数255,,,,
,,PurchaseRequest.php,支払い方法,選択必須,,,,
,,,配送先,選択必須,,,,
,,AddressRequest.php,郵便番号,入力必須、ハイフンありの8文字,,,,
,,,住所,入力必須,,,,
,,ProfileRequest.php,プロフィール画像,拡張子が.jpegもしくは.png,,,,
,,,ユーザー名,入力必須、20文字以内,,,,
,,,郵便番号,入力必須、ハイフンありの8文字,,,,
,,,住所,入力必須,,,,
,,ExhibitionRequest.php,商品名,入力必須,,,,
,,,商品説明,入力必須、最大文字数255,,,,
,,,商品画像,アップロード必須、拡張子が.jpegもしくは.png,,,,
,,,商品のカテゴリー,選択必須,,,,
,,,商品の状態,選択必須,,,,
,,,商品価格,入力必須、数値型、0円以上,,,,
